2005-03-18, 08:53:14, student020, Forbidden, welcome.hp-ww.com/country/au/en/img/n4_welcome/ent/05formula1b1a.gif
2005-03-18, 08:53:14, student020, Forbidden, welcome.hp-ww.com/country/au/en/img/n4_welcome/ent/05formula1b1b.jpg
2005-03-18, 08:59:47, student099, Forbidden, au.adserver.yahoo.com/a?f=150509014:PB&p=aumail&l=PB&c=rm
2005-03-18, 08:59:47, student099, Forbidden, au.adserver.yahoo.com/a?f=150509014:SW1&p=aumail&l=SW1&c=rm
2005-03-18, 08:59:47, student099, Forbidden, au.adserver.yahoo.com/a?f=150509014:SW2&p=aumail&l=SW2&c=rm
2005-03-18, 08:59:47, student099, Forbidden, au.adserver.yahoo.com/a?f=150509014:SW3&p=aumail&l=SW3&c=rm
2005-03-18, 08:59:47, student099, Forbidden, au.adserver.yahoo.com/a?f=150509014:SW4&p=aumail&l=SW4&c=rm
2005-03-18, 08:59:47, student099, Forbidden, au.adserver.yahoo.com/a?f=150509014:LREC&p=aumail&l=LREC&c=rm
2005-03-18, 08:59:48, student099, Forbidden, au.adserver.yahoo.com/a?f=150509014:FAD&p=aumail&l=FAD&c=rm
2005-03-18, 08:59:48, student099, Forbidden, au.adserver.yahoo.com/a?f=150509005:PB&p=aumail&l=PB&c=rm
2005-03-18, 09:00:38, student099, Forbidden, au.adserver.yahoo.com/a?f=150509152:PB&p=aumail&l=PB&c=rm
2005-03-18, 09:00:38, student099, Forbidden, au.adserver.yahoo.com/a?f=150509152:N&p=aumail&l=N&c=rm
2005-03-18, 09:00:39, student099, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW1&p=aumail&l=SW1&c=rm
2005-03-18, 09:00:39, student099, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW2&p=aumail&l=SW2&c=rm
2005-03-18, 09:00:39, student099, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW3&p=aumail&l=SW3&c=rm
2005-03-18, 09:00:39, student099, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW4&p=aumail&l=SW4&c=rm
2005-03-18, 09:08:58, student086, Forbidden, spe.atdmt.com/ds/AUMAUAUSTMOL/ninemsn_messenger_02_728x90.swf?clickTag1=http://clk.atdmt.com/go/msnnkaus001728x90Xhotj0100011mau/direct;wi.728;hi.90;ai.5214502.5297928;ct.1/01&clickTag=http://clk.atdmt.com/go/msnnkaus001728x90Xhotj0100011mau/direct;wi.728;hi.90;ai.5214502.5297928;ct.1/01
2005-03-18, 09:09:54, student086, Forbidden, ad.au.doubleclick.net/adj/N3552.Hotmail.com/B1545888;abr=!ie;sz=300x250;ord=32219?
2005-03-18, 09:09:54, student086, Forbidden, ad.au.doubleclick.net/adi/N3552.Hotmail.com/B1545888;sz=300x250;ord=32219?
2005-03-18, 09:17:06, student012, Forbidden, au.adserver.yahoo.com/a?f=150509014:PB&p=aumail&l=PB&c=rm
2005-03-18, 09:17:06, student012, Forbidden, au.adserver.yahoo.com/a?f=150509014:SW1&p=aumail&l=SW1&c=rm
2005-03-18, 09:17:07, student012, Forbidden, au.adserver.yahoo.com/a?f=150509014:SW2&p=aumail&l=SW2&c=rm
2005-03-18, 09:17:07, student012, Forbidden, au.adserver.yahoo.com/a?f=150509014:SW3&p=aumail&l=SW3&c=rm
2005-03-18, 09:17:07, student012, Forbidden, au.adserver.yahoo.com/a?f=150509014:SW4&p=aumail&l=SW4&c=rm
2005-03-18, 09:17:08, student012, Forbidden, au.adserver.yahoo.com/a?f=150509014:LREC&p=aumail&l=LREC&c=rm
2005-03-18, 09:17:08, student012, Forbidden, au.adserver.yahoo.com/a?f=150509014:FAD&p=aumail&l=FAD&c=rm
2005-03-18, 09:17:09, student012, Forbidden, au.adserver.yahoo.com/a?f=150509005:PB&p=aumail&l=PB&c=rm
2005-03-18, 09:17:14, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:PB&p=aumail&l=PB&c=rm
2005-03-18, 09:17:14, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:N&p=aumail&l=N&c=rm
2005-03-18, 09:17:14, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW1&p=aumail&l=SW1&c=rm
2005-03-18, 09:17:14, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW2&p=aumail&l=SW2&c=rm
2005-03-18, 09:17:14, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW3&p=aumail&l=SW3&c=rm
2005-03-18, 09:17:15, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW4&p=aumail&l=SW4&c=rm
2005-03-18, 09:17:40, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:PB&p=aumail&l=PB&c=rm
2005-03-18, 09:17:40, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:N&p=aumail&l=N&c=rm
2005-03-18, 09:17:40, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:SW1&p=aumail&l=SW1&c=rm
2005-03-18, 09:17:41, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:SW2&p=aumail&l=SW2&c=rm
2005-03-18, 09:17:41, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:SW3&p=aumail&l=SW3&c=rm
2005-03-18, 09:17:41, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:SW4&p=aumail&l=SW4&c=rm
2005-03-18, 09:18:23, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:PB&p=aumail&l=PB&c=rm
2005-03-18, 09:18:23, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:N&p=aumail&l=N&c=rm
2005-03-18, 09:18:24, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW1&p=aumail&l=SW1&c=rm
2005-03-18, 09:18:24, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW2&p=aumail&l=SW2&c=rm
2005-03-18, 09:18:24, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW3&p=aumail&l=SW3&c=rm
2005-03-18, 09:18:24, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW4&p=aumail&l=SW4&c=rm
2005-03-18, 09:18:36, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:PB&p=aumail&l=PB&c=rm
2005-03-18, 09:18:36, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:N&p=aumail&l=N&c=rm
2005-03-18, 09:18:36, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:SW1&p=aumail&l=SW1&c=rm
2005-03-18, 09:18:36, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:SW2&p=aumail&l=SW2&c=rm
2005-03-18, 09:18:37, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:SW3&p=aumail&l=SW3&c=rm
2005-03-18, 09:18:37, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:SW4&p=aumail&l=SW4&c=rm
2005-03-18, 09:19:27, student012, Forbidden, au.adserver.yahoo.com/a?f=150220251:N&p=aumy&l=N&c=rm
2005-03-18, 09:19:27, student012, Forbidden, au.adserver.yahoo.com/a?f=150220251:T5&p=aumy&l=T5&c=rm
2005-03-18, 09:19:29, student012, Forbidden, au.adserver.yahoo.com/a?f=150509014:PB&p=aumail&l=PB&c=rm
2005-03-18, 09:19:29, student012, Forbidden, au.adserver.yahoo.com/a?f=150509014:SW1&p=aumail&l=SW1&c=rm
2005-03-18, 09:19:29, student012, Forbidden, au.adserver.yahoo.com/a?f=150509014:SW2&p=aumail&l=SW2&c=rm
2005-03-18, 09:19:30, student012, Forbidden, au.adserver.yahoo.com/a?f=150509014:SW3&p=aumail&l=SW3&c=rm
2005-03-18, 09:19:30, student012, Forbidden, au.adserver.yahoo.com/a?f=150509014:SW4&p=aumail&l=SW4&c=rm
2005-03-18, 09:19:30, student012, Forbidden, au.adserver.yahoo.com/a?f=150509014:LREC&p=aumail&l=LREC&c=rm
2005-03-18, 09:19:30, student012, Forbidden, au.adserver.yahoo.com/a?f=150509014:FAD&p=aumail&l=FAD&c=rm
2005-03-18, 09:19:31, student012, Forbidden, au.adserver.yahoo.com/a?f=150509005:PB&p=aumail&l=PB&c=rm
2005-03-18, 09:19:34, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:PB&p=aumail&l=PB&c=rm
2005-03-18, 09:19:35, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:N&p=aumail&l=N&c=rm
2005-03-18, 09:19:35, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW1&p=aumail&l=SW1&c=rm
2005-03-18, 09:19:35, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW2&p=aumail&l=SW2&c=rm
2005-03-18, 09:19:35, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW3&p=aumail&l=SW3&c=rm
2005-03-18, 09:19:35, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW4&p=aumail&l=SW4&c=rm
2005-03-18, 09:19:43, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:PB&p=aumail&l=PB&c=rm
2005-03-18, 09:19:43, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:N&p=aumail&l=N&c=rm
2005-03-18, 09:19:43, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:SW1&p=aumail&l=SW1&c=rm
2005-03-18, 09:19:43, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:SW2&p=aumail&l=SW2&c=rm
2005-03-18, 09:19:43, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:SW3&p=aumail&l=SW3&c=rm
2005-03-18, 09:19:44, student012, Forbidden, au.adserver.yahoo.com/a?f=150509004:SW4&p=aumail&l=SW4&c=rm
2005-03-18, 09:20:57, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:PB&p=aumail&l=PB&c=rm
2005-03-18, 09:20:57, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:N&p=aumail&l=N&c=rm
2005-03-18, 09:20:57, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW1&p=aumail&l=SW1&c=rm
2005-03-18, 09:20:57, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW2&p=aumail&l=SW2&c=rm
2005-03-18, 09:20:58, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW3&p=aumail&l=SW3&c=rm
2005-03-18, 09:20:58, student012, Forbidden, au.adserver.yahoo.com/a?f=150509152:SW4&p=aumail&l=SW4&c=rm
2005-03-18, 09:21:23, student012, Forbidden, ad.au.doubleclick.net/adj/N3197._Yahoo/B1445484.2;abr=!ie;sz=468x60;click=http://au.rd.yahoo.com/SIG=127g1ptm0/M=313659.5405656.6540376.2110293/D=au_news/S=16886903:N/EXP=1099104413/A=2369544/R=1/*;ord=1099018013180331?
2005-03-18, 09:21:24, student012, Forbidden, ad.au.doubleclick.net/adi/N3197._Yahoo/B1445484.2;sz=468x60;click=http://au.rd.yahoo.com/SIG=127g1ptm0/M=313659.5405656.6540376.2110293/D=au_news/S=16886903:N/EXP=1099104413/A=2369544/R=0/*;ord=1099018013180331?
2005-03-18, 09:21:27, student012, Forbidden, au.adserver.yahoo.com/a?f=150220251:N&p=aumy&l=N&c=rm
2005-03-18, 09:21:27, student012, Forbidden, au.adserver.yahoo.com/a?f=150220251:T5&p=aumy&l=T5&c=rm
